$DATA1 SOURCE='HSPICE' VERSION='H-2013.03-SP1 32-BIT'
$OPTION MEASFORM=3
.TITLE '*inversor'
index,nmos@var,pmos@varp,tphl,tplh,iint,temper,alter#
1,   0.5166,  -0.4341, 9.088e-12, 7.996e-12,-2.620e-15,  50.0000,5
2,   0.5064,  -0.4523, 8.852e-12, 8.584e-12,-2.565e-15,  50.0000,5
3,   0.4909,  -0.4618, 8.509e-12, 9.147e-12,-2.855e-15,  50.0000,5
4,   0.4882,  -0.4667, 8.452e-12, 9.281e-12,-2.882e-15,  50.0000,5
5,   0.5275,  -0.4342, 9.351e-12, 7.989e-12,-2.484e-15,  50.0000,5
6,   0.5305,  -0.4537, 9.422e-12, 8.588e-12,-2.224e-15,  50.0000,5
7,   0.5191,  -0.4656, 9.144e-12, 8.980e-12,-2.269e-15,  50.0000,5
8,   0.5116,  -0.4523, 8.970e-12, 8.581e-12,-2.481e-15,  50.0000,5
9,   0.4930,  -0.4596, 8.555e-12, 8.801e-12,-2.770e-15,  50.0000,5
10,   0.5138,  -0.4571, 9.020e-12, 8.688e-12,-2.404e-15,  50.0000,5
11,   0.5031,  -0.4144, 8.781e-12, 7.344e-12,-3.216e-15,  50.0000,5
12,   0.5083,  -0.4690, 8.893e-12, 9.138e-12,-2.398e-15,  50.0000,5
13,   0.5180,  -0.4331, 9.123e-12, 7.965e-12,-2.615e-15,  50.0000,5
14,   0.5025,  -0.4388, 8.766e-12, 8.152e-12,-2.788e-15,  50.0000,5
15,   0.5321,  -0.4537, 9.465e-12, 8.587e-12,-2.207e-15,  50.0000,5
16,   0.4758,  -0.4339, 8.203e-12, 8.038e-12,-3.518e-15,  50.0000,5
17,   0.5096,  -0.4574, 8.923e-12, 8.751e-12,-2.466e-15,  50.0000,5
18,   0.5046,  -0.4541, 8.811e-12, 8.641e-12,-2.580e-15,  50.0000,5
19,   0.5225,  -0.4463, 9.227e-12, 8.357e-12,-2.393e-15,  50.0000,5
20,   0.4715,  -0.4465, 8.116e-12, 8.413e-12,-3.499e-15,  50.0000,5
21,   0.5435,  -0.4475, 9.816e-12, 8.390e-12,-2.169e-15,  50.0000,5
22,   0.5043,  -0.4661, 8.801e-12, 9.046e-12,-2.488e-15,  50.0000,5
23,   0.5032,  -0.4370, 8.781e-12, 8.098e-12,-2.800e-15,  50.0000,5
24,   0.4905,  -0.4308, 8.505e-12, 8.321e-12,-3.232e-15,  50.0000,5
25,   0.5050,  -0.4777, 8.816e-12, 9.429e-12,-2.403e-15,  50.0000,5
26,   0.5018,  -0.4382, 8.751e-12, 8.130e-12,-2.809e-15,  50.0000,5
27,   0.4942,  -0.4576, 8.581e-12, 8.736e-12,-2.754e-15,  50.0000,5
28,   0.5054,  -0.4406, 8.829e-12, 8.216e-12,-2.714e-15,  50.0000,5
29,   0.4963,  -0.4560, 8.627e-12, 8.987e-12,-2.787e-15,  50.0000,5
30,   0.5357,  -0.4482, 9.554e-12, 8.418e-12,-2.228e-15,  50.0000,5
31,   0.5364,  -0.4471, 9.574e-12, 8.383e-12,-2.233e-15,  50.0000,5
32,   0.4932,  -0.4503, 8.561e-12, 8.518e-12,-2.850e-15,  50.0000,5
33,   0.5352,  -0.4318, 9.544e-12, 7.911e-12,-2.441e-15,  50.0000,5
34,   0.4692,  -0.4308, 8.073e-12, 7.956e-12,-3.793e-15,  50.0000,5
35,   0.5275,  -0.4225, 9.353e-12, 7.642e-12,-2.675e-15,  50.0000,5
36,   0.4900,  -0.4729, 8.489e-12, 9.479e-12,-2.794e-15,  50.0000,5
37,   0.5196,  -0.4410, 9.159e-12, 8.216e-12,-2.498e-15,  50.0000,5
38,   0.5433,  -0.4507, 9.807e-12, 8.490e-12,-2.137e-15,  50.0000,5
39,   0.5208,  -0.4520, 9.187e-12, 8.518e-12,-2.362e-15,  50.0000,5
40,   0.5015,  -0.4468, 8.742e-12, 8.412e-12,-2.711e-15,  50.0000,5
41,   0.4950,  -0.4663, 8.598e-12, 8.998e-12,-2.668e-15,  50.0000,5
42,   0.5073,  -0.4680, 8.869e-12, 9.104e-12,-2.423e-15,  50.0000,5
43,   0.5021,  -0.4611, 8.753e-12, 8.872e-12,-2.566e-15,  50.0000,5
44,   0.5251,  -0.4659, 9.289e-12, 8.966e-12,-2.183e-15,  50.0000,5
45,   0.5121,  -0.4472, 8.981e-12, 8.408e-12,-2.526e-15,  50.0000,5
46,   0.5024,  -0.4258, 8.765e-12, 7.710e-12,-3.000e-15,  50.0000,5
47,   0.5191,  -0.4546, 9.146e-12, 8.633e-12,-2.358e-15,  50.0000,5
48,   0.4986,  -0.4824, 8.673e-12, 9.499e-12,-2.495e-15,  50.0000,5
49,   0.4881,  -0.4472, 8.452e-12, 8.748e-12,-3.066e-15,  50.0000,5
50,   0.5102,  -0.4477, 8.939e-12, 8.424e-12,-2.550e-15,  50.0000,5
51,   0.5174,  -0.4808, 9.103e-12, 9.501e-12,-2.197e-15,  50.0000,5
52,   0.5139,  -0.4533, 9.023e-12, 8.532e-12,-2.447e-15,  50.0000,5
53,   0.5189,  -0.4498, 9.140e-12, 8.488e-12,-2.408e-15,  50.0000,5
54,   0.5047,  -0.4691, 8.811e-12, 9.146e-12,-2.459e-15,  50.0000,5
55,   0.5067,  -0.4545, 8.857e-12, 8.658e-12,-2.540e-15,  50.0000,5
56,   0.5256,  -0.4173, 9.305e-12, 7.491e-12,-2.838e-15,  50.0000,5
57,   0.5038,  -0.4695, 8.790e-12, 9.160e-12,-2.474e-15,  50.0000,5
58,   0.4947,  -0.4900, 8.588e-12, 9.743e-12,-2.547e-15,  50.0000,5
59,   0.5097,  -0.4458, 8.927e-12, 8.375e-12,-2.579e-15,  50.0000,5
60,   0.5117,  -0.4566, 8.973e-12, 8.724e-12,-2.439e-15,  50.0000,5
61,   0.5146,  -0.4502, 9.040e-12, 8.492e-12,-2.452e-15,  50.0000,5
62,   0.5201,  -0.4547, 9.170e-12, 8.617e-12,-2.344e-15,  50.0000,5
63,   0.5188,  -0.4490, 9.140e-12, 8.442e-12,-2.415e-15,  50.0000,5
64,   0.5161,  -0.4370, 9.075e-12, 8.084e-12,-2.587e-15,  50.0000,5
65,   0.4963,  -0.4647, 8.626e-12, 8.951e-12,-2.657e-15,  50.0000,5
66,   0.5442,  -0.4338, 9.841e-12, 7.966e-12,-2.334e-15,  50.0000,5
67,   0.4957,  -0.4533, 8.613e-12, 8.604e-12,-2.762e-15,  50.0000,5
68,   0.5173,  -0.4497, 9.103e-12, 8.829e-12,-2.488e-15,  50.0000,5
69,   0.4976,  -0.4633, 8.654e-12, 8.904e-12,-2.630e-15,  50.0000,5
70,   0.5401,  -0.4655, 9.676e-12, 8.948e-12,-2.037e-15,  50.0000,5
71,   0.5064,  -0.4686, 8.849e-12, 9.127e-12,-2.433e-15,  50.0000,5
72,   0.5096,  -0.4422, 8.925e-12, 8.263e-12,-2.623e-15,  50.0000,5
73,   0.5149,  -0.4554, 9.047e-12, 8.650e-12,-2.397e-15,  50.0000,5
74,   0.4829,  -0.4282, 8.348e-12, 7.872e-12,-3.396e-15,  50.0000,5
75,   0.5107,  -0.4494, 8.949e-12, 8.484e-12,-2.524e-15,  50.0000,5
76,   0.5135,  -0.4382, 9.015e-12, 8.101e-12,-2.614e-15,  50.0000,5
77,   0.5432,  -0.4625, 9.809e-12, 8.853e-12,-2.034e-15,  50.0000,5
78,   0.5163,  -0.4709, 9.076e-12, 9.441e-12,-2.343e-15,  50.0000,5
79,   0.5153,  -0.4673, 9.055e-12, 9.015e-12,-2.298e-15,  50.0000,5
80,   0.5051,  -0.4356, 8.824e-12, 8.057e-12,-2.784e-15,  50.0000,5
81,   0.5061,  -0.4468, 8.846e-12, 8.410e-12,-2.628e-15,  50.0000,5
82,   0.5007,  -0.4759, 8.719e-12, 9.292e-12,-2.488e-15,  50.0000,5
83,   0.5300,  -0.4312, 9.413e-12, 7.899e-12,-2.502e-15,  50.0000,5
84,   0.4968,  -0.4645, 8.637e-12, 8.941e-12,-2.638e-15,  50.0000,5
85,   0.5372,  -0.4717, 9.591e-12, 9.142e-12,-2.022e-15,  50.0000,5
86,   0.5272,  -0.4492, 9.342e-12, 8.453e-12,-2.303e-15,  50.0000,5
87,   0.4794,  -0.4674, 8.269e-12, 9.045e-12,-3.060e-15,  50.0000,5
88,   0.4720,  -0.4699, 8.121e-12, 9.128e-12,-3.281e-15,  50.0000,5
89,   0.5374,  -0.4571, 9.597e-12, 8.687e-12,-2.128e-15,  50.0000,5
90,   0.4761,  -0.4382, 8.208e-12, 8.163e-12,-3.448e-15,  50.0000,5
91,   0.5185,  -0.4403, 9.133e-12, 8.160e-12,-2.518e-15,  50.0000,5
92,   0.4746,  -0.4533, 8.174e-12, 8.624e-12,-3.327e-15,  50.0000,5
93,   0.5069,  -0.4390, 8.863e-12, 8.165e-12,-2.709e-15,  50.0000,5
94,   0.4876,  -0.4673, 8.440e-12, 9.296e-12,-2.892e-15,  50.0000,5
95,   0.4790,  -0.4756, 8.262e-12, 9.298e-12,-3.018e-15,  50.0000,5
96,   0.5045,  -0.4572, 8.808e-12, 8.750e-12,-2.553e-15,  50.0000,5
97,   0.5313,  -0.4633, 9.442e-12, 8.884e-12,-2.134e-15,  50.0000,5
98,   0.5411,  -0.4455, 9.710e-12, 8.320e-12,-2.209e-15,  50.0000,5
99,   0.5137,  -0.4300, 9.022e-12, 7.808e-12,-2.741e-15,  50.0000,5
100,   0.5120,  -0.4596, 8.977e-12, 8.789e-12,-2.410e-15,  50.0000,5
101,   0.5191,  -0.4575, 9.145e-12, 8.724e-12,-2.332e-15,  50.0000,5
102,   0.5161,  -0.4278, 9.076e-12, 7.809e-12,-2.725e-15,  50.0000,5
103,   0.5305,  -0.4646, 9.421e-12, 8.922e-12,-2.134e-15,  50.0000,5
104,   0.5132,  -0.4622, 9.006e-12, 8.867e-12,-2.371e-15,  50.0000,5
105,   0.5178,  -0.4631, 9.113e-12, 8.937e-12,-2.302e-15,  50.0000,5
106,   0.5095,  -0.4472, 8.923e-12, 8.408e-12,-2.566e-15,  50.0000,5
107,   0.5095,  -0.4638, 8.920e-12, 8.965e-12,-2.416e-15,  50.0000,5
108,   0.5098,  -0.4498, 8.929e-12, 8.495e-12,-2.534e-15,  50.0000,5
109,   0.5185,  -0.4380, 9.134e-12, 8.069e-12,-2.548e-15,  50.0000,5
110,   0.4885,  -0.4440, 8.461e-12, 8.664e-12,-3.094e-15,  50.0000,5
111,   0.4897,  -0.4295, 8.490e-12, 8.287e-12,-3.270e-15,  50.0000,5
112,   0.5240,  -0.4744, 9.261e-12, 9.235e-12,-2.141e-15,  50.0000,5
113,   0.5032,  -0.4314, 8.782e-12, 7.910e-12,-2.882e-15,  50.0000,5
114,   0.5240,  -0.4188, 9.268e-12, 7.541e-12,-2.826e-15,  50.0000,5
115,   0.5084,  -0.4395, 8.897e-12, 8.181e-12,-2.677e-15,  50.0000,5
116,   0.5253,  -0.4577, 9.294e-12, 8.715e-12,-2.245e-15,  50.0000,5
117,   0.4841,  -0.4662, 8.366e-12, 9.007e-12,-2.941e-15,  50.0000,5
118,   0.4907,  -0.4424, 8.509e-12, 8.624e-12,-3.058e-15,  50.0000,5
